A,B,C,D,E,F
3,68.97,28,518.49,-13.4206,-19.8969
0,39.14,0,42.09,-5.20202,-4.68391
0,39.08,0,42.56,43.6633,10.8865
38,419.35,18,348.42,16.6178,9.21138
9,129.14,21,399.41,-21.0387,-6.43217
34,379.3,25,467.52,-20.3078,-10.7978
8,119.06,30,552.38,-18.4228,-33.2355
28,318.99,7,161.37,40.6004,34.0677
32,359,23,433.27,7.12805,3.63192
36,399.15,31,569.27,6.06405,21.1478
22,259.45,14,280.56,50.3141,37.9143
12,159.09,33,603.52,-14.5238,-44.6996
23,269.5,29,535.07,22.7401,12.605
15,190.55,38,688.47,-19.6325,-3.81618
13,169.45,24,450.33,-57.0713,-24.2253
26,299.3,7,161.29,17.4285,26.8374
36,399.14,14,280.27,21.9251,9.76167
37,409.24,5,127.56,-29.8703,-30.9316
33,369.42,1,59.08,-47.6361,-23.2337
10,139.37,21,399.11,20.5061,20.5061
13,169.32,33,603.17,37.0883,69.7528
22,259.53,14,280.26,56.5135,13.0472
0,39.32,37,671.54,64.5577,13.7222
0,39.49,32,585.98,-37.3067,-25.1637
34,379.22,12,246.13,-32.3607,-23.5114
28,319.22,8,178.18,4.68585,16.3414
18,219.48,35,637.02,9.45613,7.38793
35,389.22,21,399.3,-72.3204,-29.2193
0,39.2,11,229.01,11.1246,34.238
15,189.2,12,246.36,-35.8594,-19.8772
0,39.04,9,195.37,-36.8202,-15.6292
12,159.47,10,212.44,-3.99318,-3.00907
33,369.2,27,501.51,-23.8211,-2.92486
33,369.45,25,467.02,-45.6507,-14.8328
24,279.24,36,654.05,46.4778,87.4118
13,169.48,6,144.11,5.81773,10.4954
13,169.41,9,195.4,62.2244,9.85536
17,209.53,27,501.42,11,19.0526
7,109.05,3,93.01,-21.5482,-27.5804
9,129.26,27,501.23,8.24178,14.8685
5,88.99,17,331.09,36.7973,3.86755
30,339.39,37,671.16,62.482,17.9164
16,199.11,29,535.12,-80.0028,-12.6712
11,149.35,12,246.03,79.7165,49.8124
6,99.01,38,688.3,-35.7084,-45.7046
11,149.04,30,552.05,-6.47406,-6.25192
22,258.99,21,399.56,10.9027,7.0803
12,159.38,32,585.99,-48.9602,-39.6472
18,219.37,14,280.07,-21.8795,-2.29962
19,229.41,37,671.46,3.94535,8.08914
28,318.97,38,688.55,-22.3695,-31.9469
9,129.4,4,110.07,-5.82177,-1.45153
8,119.04,31,569.5,66.3513,46.4597
37,409.56,20,382.08,-31.9469,-22.3695
12,159.09,7,161.46,-18.6509,-3.62537
0,39.46,29,535.48,-99.2546,-12.1869
1,49.38,37,671.14,46.7373,22.7953
26,299.09,30,552.26,-52.0994,-53.9505
29,329.11,2,76.38,3.85673,4.59626
4,79.47,7,161.08,29.826,42.5959
39,429.41,22,416.25,70.9139,24.4176
22,259.05,15,297.56,17.9835,17.3664
23,269.21,32,586.1,-72.7722,-18.1441
17,209.24,24,450.08,-87.98,-26.8982
27,309.01,24,450.03,32.2177,13.6756
27,309.32,33,603.38,-11.3498,-22.2752
15,189.07,9,195.39,84.1512,28.9755
22,259.09,30,552.03,32.5724,19.5714
15,189.32,23,433.48,20.4883,16.0072
33,369.42,28,518.15,-76.2103,-44
18,219.48,2,76.48,-66.2572,-15.2967
12,159.16,0,42.18,0.970296,0.241922
27,309.12,34,620.55,58.3346,17.8347
34,379.14,7,161.46,-64.2788,-76.6044
32,359.11,31,569.09,41.5814,102.917
8,118.99,34,620.27,79.1634,33.6029
0,39.15,17,330.97,58.1598,40.7239
30,339.55,18,348.53,-3.88118,-0.967687
28,318.99,28,518.04,61.1286,15.2411
32,359.13,15,297.52,-76.2715,-51.4457
10,139.33,33,603.53,35.6283,15.8627
14,179.36,9,195,-47.8173,-4.18347
6,99.51,19,365.21,-6.15662,-7.8801
35,389.35,22,416.41,-2.81908,-1.02606
5,89.46,13,263.17,76.4261,9.38393
39,429.04,30,552.41,43.759,4.59925
4,79.47,13,263.5,19.9172,16.7125
26,299.49,19,365.02,7.95618,0.836227
24,279,11,229.35,28.9449,94.6741
24,279.01,37,671.54,43.2633,72.002
11,149.52,34,620.39,42.4264,42.4264
35,389.21,0,42.05,-47.6126,-18.2768
33,369.32,10,212.01,-67.7412,-5.92659
25,289.46,14,281.53,66.348,9.32459
24,279.08,10,212.11,21.1166,35.1438
20,239.29,10,212.31,-28.9142,-68.1173
24,279.39,38,688.34,8.48048,5.29919
15,189.53,35,637.35,77.6237,19.3537
8,119.43,28,518.31,-25.5223,-4.96103
28,319.16,19,365.47,-45.6939,-49.0007
24,279.5,25,467.43,76.0845,24.7213
28,319.53,17,331.03,33.1414,65.0434
26,299.38,16,314.18,16.2862,9.78572
0,39.24,34,620.38,74.9107,33.3524
9,129.39,8,178.45,-64.6719,-21.0131
21,249.45,38,688.15,43.1292,84.6456
33,369.12,15,297.48,-56.0237,-15.0115
11,149.45,1,59.24,18.7111,9.53379
23,269.3,32,586.27,29.7371,16.4835
39,429.2,8,178.36,23.8211,2.92486
32,359.14,32,586.47,29.0163,19.5717
1,49.37,35,637.05,-54.7939,-70.1329
28,319.39,17,330.99,-17.2199,-8.02974
14,179.34,3,93.23,26.9581,38.5001
12,159.03,33,603.29,-16.4315,-30.9032
36,399.26,6,144.46,14.9722,11.6976
8,119.17,14,280,-90.6023,-15.9756
32,359.06,0,42.38,22.874,2.40415
3,69.26,10,212.24,-11.7378,-2.49494
17,209.49,15,297.19,-1.26786,-2.71892
32,359.3,1,59.55,37.5116,38.8443
12,159,33,603.23,6.45064,16.8044
3,69.2,15,297.52,-2.40726,-3.19454
29,329.37,19,365.36,18.3094,34.4349
37,409.13,32,586.01,-27.4064,-12.2021
37,408.99,14,280.15,0.587786,0.809017
39,429.42,12,246.42,-9.25887,-14.2574
19,229.23,17,331.11,-25.6799,-4.06729
4,79.4,6,144,-59.7515,-50.1374
3,69.08,13,263.24,-41.8465,-13.5967
36,399.1,26,484.47,-47.5445,-11.8542
19,229.2,16,314,28.2137,38.8328
18,219.56,17,331.12,-26.8521,-2.82227
21,249.26,34,620.04,-85.386,-21.2891
12,159.44,12,246.42,-65.7488,-5.75227
21,248.99,25,467.24,83.1425,17.6725
38,419.41,32,586.31,79.4037,9.74954
33,369.27,11,229.39,23.1767,38.5725
14,179.04,33,603.17,-22.8673,-70.3782
1,49.56,37,671.11,24.0887,26.7532
34,379.34,6,144.29,31.3148,46.4261
9,129.31,27,501.1,-19.4059,-4.83843
5,89.22,29,535.13,-70.4266,-14.9696
12,159.11,6,144.54,64.1079,68.7472
34,379.05,23,433.4,21.9163,1.91742
7,109.05,29,535.22,6.51138,18.9104
28,319.18,12,246.12,15.733,43.2258
7,109.08,30,552.13,58.7755,5.14218
3,69.08,4,110.06,19.4504,20.1415
34,379.32,19,365.54,52.1922,57.9653
9,129.14,33,603.16,-14.9762,-43.4938
17,208.99,19,365.26,-4.8481,-8.74619
26,299.34,29,535.14,17.9165,62.482
